Model,Firewall Throughput (Gbps),IPsec VPN Throughput (Gbps),IPS Throughput (Gbps),NGFW Throughput (Gbps),Threat Protection Throughput (Gbps)
E series,,,,,
FG/FWF-30E,0.95,0.075,0.6,0.2,0.15
FG/FWF-50E,2.5,0.09,0.8,0.22,0.16
FG/FWF-60E,3,2,1.4,0.25,0.2
FG-80E,4,2.5,1.5,0.36,0.25
FG-100E,7.4,4,1.9,0.36,0.25
FG-200E,20,9,6,1.8,1.2
FG-300E,32,20,11,3.5,3
FG-400E,32,20,7.8,6,5
FG-500E,36,20,11,5,4.7
FG-600E,36,20,10,9.5,7
FG-2000E,90,65,25,9,5.4
FG-2500E,150,95,25,9,5.4
FG-3960E,620,280,80,22,13.5
FG-3980E,1050,400,82,28,20
FG-5001E,80,45,25,15,13.5
FG-7030E,155,40,90,50,35
FG-7040E,315,100,140,50,40
FG-7060E,630,100,360,100,80
F / G / Series,,,,,
FG/FWF-30G,4 / 4 / 3.9,3.5,0.8,0.57,0.5
FG/FWF-40F,5,4.4,1,0.8,0.6
FG/FWF-50G,5,4.5,2.25,1.25,1.1
FG/FWF-60F,10,6.5,1.4,1,0.7
FG-70F,10,6.1,1.4,1,0.8
FG/FWF-70G,10,7.1,2.5,1.5,1.3
FG/FWF-80F,10,6.5,1.4,1,0.9
FG-90G,28 / 28 / 27.9,25,4.5,2.5,2.2
FG-100F,20 / 18 / 10,11.5,2.6,1.6,1
FG-120G,39 / 39 / 28,35,5.3,3.1,2.8
FG-200F,27 / 27 / 11,13,5,3.5,3
FG-200G,39 / 39 / 26.5,36,9,7,6
FG-400F,79.5 / 78.5 / 70,55,12,10,9
FG-600F,139 / 137.5 / 70,55,14,11.5,10.5
FG-900G,164 / 163 / 153,55,26,22,20
FG-1000F,198 / 196 / 134,55,19,15,13
FG-1800F,198 / 197 / 140,55,22,17,15
FG-2600F,198 / 196 / 140,55,31,27,25
FG-3000F,397 / 389 / 221,105,36,34,33
FG-3200F,387 / 385 / 178.5,105,63,47,45
FG-3500F,595 / 590 / 420,165,72,65,63
FG-3700F,589 / 589 / 420,160,86,80,75
FG-4200F,800 / 788 / 400,210,52,47,45
FG-4400F,1150 / 1140 / 500,310,94,82,75
FG-4800F,3100 / 3100 / 930,800,87,77,75
FG-6001F,250,160,170,150,100
FG-6300F,239 / 238 / 135,96,110,90,60
FG-6500F,239 / 238 / 135,160,170,150,100
FG-7081F,1890 / 1880 / 1129,378,405,330,312
FG-7121F,1890 / 1880 / 1129,630,675,550,520
