Model,Firewall Throughput (Gbps),TLS Inspection (Mbps),Firewall IMIX (Mbps),IPS Throughput (Gbps),IPsec VPN Throughput (Gbps),NGFW Throughput (Gbps),Threat Protection Throughput (Gbps),Category
XGS 88,9.9,0.6,6.5,2,6,2,2,Desktop Models
XGS 108,12.5,0.8,8.1,2.5,8.25,2.6,2.5,Desktop Models
XGS 118,15.5,1.1,11,3.5,13,3.95,3.25,Desktop Models
XGS 128,19.1,1.45,14.5,4.65,15.05,4.35,4,Desktop Models
XGS 138,19.1,1.7,10.5,5.85,6.6,5.1,4.75,Desktop Models
XGS 2100,30,1.1,16.5,6,17,5.2,5,1U Models
XGS 2300,39,1.45,20,7,20.5,6.3,5.5,1U Models
XGS 3100,45,1.7,23,8,22,7,6,1U Models
XGS 3300,50,2,25,9,25,7.5,6.5,1U Models
XGS 4300,55,2.2,28,10,28,8,7,1U Models
XGS 4500,60,2.5,30,11,30,8.5,7.5,1U Models
XGS 5500,100,13.5,52,40,92.5,38,46,2U Models
XGS 6500,125,15.5,60,50.75,100,45,52,2U Models
XGS 7500,140,18,70,60,110,55,60,2U Models
XGS 8500,160,20,80,70,120,65,70,2U Models
